id,first_name,last_name,participant_id,course,course_id,register_date,participation_rate,course_completion_rate,task_completion_rate,feedback_rate
1,Nedim Can,Ulusoy,fc719f87-77b3-4c2e-89cb-f8aa480c7d9d,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,31/12/2021,99.95,99.58,98.16,95.61
2,Stevana,Toffel,fb381fb9-e1f0-4a37-869d-501a27693a3c,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,14/02/2021,81.15,21.52,30.51,44.23
3,Mervin,Ludl,847c09a0-13b1-4a02-a5e6-19143dde9dcc,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,18/12/2021,29.52,66.23,72.76,16.48
4,Riannon,Disman,df5cde3e-11c7-4826-9502-487c9984561e,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,17/10/2020,21.84,86.15,38.7,61.47
5,Bealle,Dole,56eb7ea3-84ba-4932-85c3-694b99a60f03,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,26/09/2019,78.23,29.73,96.79,95.61
6,Felice,Klais,1b1dd5c4-f47f-40a6-94b9-e15cfdf3e607,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,19/06/2019,85.98,32.45,78.97,65.5
7,Remy,Yven,a0ed886b-0964-4fd7-a668-0d65d669da01,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,19/07/2019,84.44,,42.34,53.31
8,Parrnell,Culkin,a4520dae-3c08-4b42-ab0d-bcc3d02c7edd,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,22/12/2020,78.52,97.17,6.68,90.45
9,Talyah,Toop,30da97d3-0c40-4ad7-a644-2fe5cc647e4c,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,16/03/2019,54.67,70.69,26.54,30.47
10,Basia,Jedrzejewsky,2ed72435-9f9f-4b96-82a1-79c9aa6dcebc,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,24/03/2020,22.48,54.23,68.81,49.63
11,Kristien,Schimaschke,04d8ffde-b7ac-42d3-8aa9-f32702755230,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,15/12/2021,93.47,94.15,70.9,63.0
12,Erena,Conrath,66d4c634-b48e-469c-acb6-1061fbe2617e,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,11/07/2019,66.48,5.22,46.43,30.6
13,Elmira,Edmeades,e150cf19-04b0-4f14-939d-7302f0c44fac,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,17/09/2021,76.8,46.15,,
14,Sascha,Botright,e638ff1f-a642-4048-8274-0750092f0656,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,30/03/2021,24.18,32.4,53.62,6.98
15,Marcie,Mendonca,ace2e02a-b96b-4be7-bb6b-574369907fd7,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,04/08/2020,13.41,20.56,7.89,83.29
16,Hadley,Thirlwall,89714684-fae4-48f9-a890-dca97f7ff954,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,22/02/2020,76.35,30.31,55.38,32.05
17,Carter,Melburg,120e636d-231a-47f0-9889-4ddb7aaa9f9b,Python & Data Visualization,5c22e69e-2a0a4155-64f206cb,06/02/2019,81.11,59.52,39.1,35.84
